name,address,price,distance,rate_review,num_review,rating_stars,link,source_url,latitude,longitude,hotel_type
Smart Stay Hostel Gdynia,Gdynia,164,500.0,7.9,738.0,0,https://www.booking.com/hotel/pl/smartstay-hostel-gdynia.pl.html?aid=304142&label=gen173nr-1FCAQoggJCDXNlYXJjaF9nZHluaWFIHlgEaLYBiAEBmAEeuAEXyAEM2AEB6AEB-AEDiAIBqAIDuALKtru7BsACAdICJGUxYWNmZGI3LWY1OTAtNDEzNy1hMjNmLTZmZGVmYjM4MDQzM9gCBeACAQ&ucfs=1&arphpl=1&checkin=2024-12-27&checkout=2024-12-28&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=12&hapos=12&sr_order=price&srpvid=cd7f76a58eb00801&srepoch=1735318347&all_sr_blocks=186629502_92067247_2_0_0_40268&highlighted_blocks=186629502_92067247_2_0_0_40268&matching_block_id=186629502_92067247_2_0_0_40268&sr_pri_blocks=186629502_92067247_2_0_0_40268_16440&from=searchresults,https://www.booking.com/searchresults.pl.html?ss=Gdynia&checkin=2024-12-27&checkout=2024-12-28&group_adults=2&order=price,54.51618790252831,18.53461587528136,Hostel
Villa Eleven,Gdynia,164,3300.0,8.3,330.0,0,https://www.booking.com/hotel/pl/villa-eleven.pl.html?aid=304142&label=gen173nr-1FCAQoggJCDXNlYXJjaF9nZHluaWFIHlgEaLYBiAEBmAEeuAEXyAEM2AEB6AEB-AEDiAIBqAIDuALKtru7BsACAdICJGUxYWNmZGI3LWY1OTAtNDEzNy1hMjNmLTZmZGVmYjM4MDQzM9gCBeACAQ&ucfs=1&arphpl=1&checkin=2024-12-27&checkout=2024-12-28&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=13&hapos=13&sr_order=price&srpvid=cd7f76a58eb00801&srepoch=1735318347&all_sr_blocks=335986301_116172978_3_0_0&highlighted_blocks=335986301_116172978_3_0_0&matching_block_id=335986301_116172978_3_0_0&sr_pri_blocks=335986301_116172978_3_0_0__16440&from=searchresults,https://www.booking.com/searchresults.pl.html?ss=Gdynia&checkin=2024-12-27&checkout=2024-12-28&group_adults=2&order=price,54.496248,18.505045,Kwatera prywatna
Flatbook - City Center Apartments Yacht Park,"Śródmieście, Gdynia",1046,800.0,8.4,108.0,3,https://www.booking.com/hotel/pl/flatbook-city-center-apartments-yacht-park.pl.html?aid=304142&label=gen173nr-1FCAQoggJCDXNlYXJjaF9nZHluaWFIHlgEaLYBiAEBmAEeuAEXyAEM2AEB6AEB-AEDiAIBqAIDuALKtru7BsACAdICJGM4NzYzYWYyLWRlYWQtNDJmMS04YjkxLWVlMjUwNjVlMDExMNgCBeACAQ&ucfs=1&arphpl=1&checkin=2024-12-27&checkout=2024-12-28&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=16&hapos=16&sr_order=price_from_high_to_low&srpvid=ca8476a5aafd0149&srepoch=1735318347&all_sr_blocks=860154702_353866943_2_2_0_648875&highlighted_blocks=860154702_353866943_2_2_0_648875&matching_block_id=860154702_353866943_2_2_0_648875&sr_pri_blocks=860154702_353866943_2_2_0_648875_104610&from=searchresults,https://www.booking.com/searchresults.pl.html?ss=Gdynia&checkin=2024-12-27&checkout=2024-12-28&group_adults=2&order=price_from_high_to_low,54.5222737,18.5500398,Apartament
Babie Doły - Przy Plaży,Gdynia,1004,7100.0,9.0,1.0,0,https://www.booking.com/hotel/pl/babie-doly-przy-plazy.pl.html?aid=304142&label=gen173nr-1FCAQoggJCDXNlYXJjaF9nZHluaWFIHlgEaLYBiAEBmAEeuAEXyAEM2AEB6AEB-AEDiAIBqAIDuALKtru7BsACAdICJGM4NzYzYWYyLWRlYWQtNDJmMS04YjkxLWVlMjUwNjVlMDExMNgCBeACAQ&ucfs=1&arphpl=1&checkin=2024-12-27&checkout=2024-12-28&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=17&hapos=17&sr_order=price_from_high_to_low&srpvid=ca8476a5aafd0149&srepoch=1735318347&all_sr_blocks=1230795801_395063998_4_0_0&highlighted_blocks=1230795801_395063998_4_0_0&matching_block_id=1230795801_395063998_4_0_0&sr_pri_blocks=1230795801_395063998_4_0_0__100440&from=searchresults,https://www.booking.com/searchresults.pl.html?ss=Gdynia&checkin=2024-12-27&checkout=2024-12-28&group_adults=2&order=price_from_high_to_low,54.5809264,18.5405964,Apartament
Mi Bella 1,Gdynia,994,4100.0,8.8,4.0,0,https://www.booking.com/hotel/pl/mi-bella-1.pl.html?aid=304142&label=gen173nr-1FCAQoggJCDXNlYXJjaF9nZHluaWFIHlgEaLYBiAEBmAEeuAEXyAEM2AEB6AEB-AEDiAIBqAIDuALKtru7BsACAdICJGM4NzYzYWYyLWRlYWQtNDJmMS04YjkxLWVlMjUwNjVlMDExMNgCBeACAQ&ucfs=1&arphpl=1&checkin=2024-12-27&checkout=2024-12-28&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=18&hapos=18&sr_order=price_from_high_to_low&srpvid=ca8476a5aafd0149&srepoch=1735318347&all_sr_blocks=1215777301_393766596_2_0_0&highlighted_blocks=1215777301_393766596_2_0_0&matching_block_id=1215777301_393766596_2_0_0&sr_pri_blocks=1215777301_393766596_2_0_0__99440&from=searchresults,https://www.booking.com/searchresults.pl.html?ss=Gdynia&checkin=2024-12-27&checkout=2024-12-28&group_adults=2&order=price_from_high_to_low,54.530271411203,18.482836287466,Apartament
Apartament Wojciecha 9B 1 - Gdynia Śródmieście 70m2,"Śródmieście, Gdynia",404,700.0,9.5,25.0,3,https://www.booking.com/hotel/pl/apartament-wojciecha-9b-1-gdynia-srodmiescie-70m2.pl.html?aid=304142&label=gen173nr-1FCAQoggJCDXNlYXJjaF9nZHluaWFIHlgEaLYBiAEBmAEeuAEXyAEM2AEB6AEB-AEDiAIBqAIDuALKtru7BsACAdICJGRjYTVlNjUzLTI1MDYtNDFiYy04NzQ2LWZjNjU5ZTc1ZjU2ZdgCBeACAQ&ucfs=1&arphpl=1&checkin=2024-12-27&checkout=2024-12-28&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=review_score_and_price&srpvid=b39076a5a9e902a8&srepoch=1735318347&all_sr_blocks=1057215001_377928375_3_0_0&highlighted_blocks=1057215001_377928375_3_0_0&matching_block_id=1057215001_377928375_3_0_0&sr_pri_blocks=1057215001_377928375_3_0_0__40440&from=searchresults,https://www.booking.com/searchresults.pl.html?ss=Gdynia&checkin=2024-12-27&checkout=2024-12-28&group_adults=2&order=review_score_and_price,54.5233419,18.5439202,Apartament
Apartamenty BRUNO i BIANCA w Symphony Modern Tower Gdynia 2 i 3 piętro,"Wzgórze Świętego Maksymiliana, Gdynia",404,2100.0,9.7,144.0,3,https://www.booking.com/hotel/pl/apartament-w-symphony-modern-tower-gdynia.pl.html?aid=304142&label=gen173nr-1FCAQoggJCDXNlYXJjaF9nZHluaWFIHlgEaLYBiAEBmAEeuAEXyAEM2AEB6AEB-AEDiAIBqAIDuALKtru7BsACAdICJGRjYTVlNjUzLTI1MDYtNDFiYy04NzQ2LWZjNjU5ZTc1ZjU2ZdgCBeACAQ&ucfs=1&arphpl=1&checkin=2024-12-27&checkout=2024-12-28&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=11&hapos=11&sr_order=review_score_and_price&srpvid=b39076a5a9e902a8&srepoch=1735318347&all_sr_blocks=900862902_360754312_2_0_0&highlighted_blocks=900862902_360754312_2_0_0&matching_block_id=900862902_360754312_2_0_0&sr_pri_blocks=900862902_360754312_2_0_0__40440&from=searchresults,https://www.booking.com/searchresults.pl.html?ss=Gdynia&checkin=2024-12-27&checkout=2024-12-28&group_adults=2&order=review_score_and_price,54.4990986,18.5328125,Aparthotel
Morze Apartamenty by Grand Apartments,"Orłowo, Gdynia",426,4500.0,9.7,107.0,3,https://www.booking.com/hotel/pl/morze-apartamenty-by-grand-apartments.pl.html?aid=304142&label=gen173nr-1FCAQoggJCDXNlYXJjaF9nZHluaWFIHlgEaLYBiAEBmAEeuAEXyAEM2AEB6AEB-AEDiAIBqAIDuALKtru7BsACAdICJGRjYTVlNjUzLTI1MDYtNDFiYy04NzQ2LWZjNjU5ZTc1ZjU2ZdgCBeACAQ&ucfs=1&arphpl=1&checkin=2024-12-27&checkout=2024-12-28&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=12&hapos=12&sr_order=review_score_and_price&srpvid=b39076a5a9e902a8&srepoch=1735318347&all_sr_blocks=1090634205_381993841_3_0_0&highlighted_blocks=1090634205_381993841_3_0_0&matching_block_id=1090634205_381993841_3_0_0&sr_pri_blocks=1090634205_381993841_3_0_0__42600&from=searchresults,https://www.booking.com/searchresults.pl.html?ss=Gdynia&checkin=2024-12-27&checkout=2024-12-28&group_adults=2&order=review_score_and_price,54.4782557,18.5568161,Apartament
Piękne mieszkanie w samym centrum Gdyni,"Śródmieście, Gdynia",365,250.0,,,0,https://www.booking.com/hotel/pl/piekne-mieszkanie-w-samym-centrum-gdyni.pl.html?aid=304142&label=gen173nr-1FCAQoggJCDXNlYXJjaF9nZHluaWFIHlgEaLYBiAEBmAEeuAEXyAEM2AEB6AEB-AEDiAIBqAIDuALKtru7BsACAdICJDY2OTM3NTE1LTY4MWYtNDMxMy1iYWVlLTM2OTkzMTRlZmMxNNgCBeACAQ&ucfs=1&arphpl=1&checkin=2024-12-27&checkout=2024-12-28&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=distance_from_search&srpvid=1a8176a5ea1901c3&srepoch=1735318347&all_sr_blocks=1328338301_405415120_2_0_0&highlighted_blocks=1328338301_405415120_2_0_0&matching_block_id=1328338301_405415120_2_0_0&sr_pri_blocks=1328338301_405415120_2_0_0__36485&from=searchresults,https://www.booking.com/searchresults.pl.html?ss=Gdynia&checkin=2024-12-27&checkout=2024-12-28&group_adults=2&order=distance_from_search,54.518802,18.5384006,Apartament
Apartament Kaskada Parking & Balcony by Axel,"Redłowo, Gdynia",450,2300.0,9.7,25.0,3,https://www.booking.com/hotel/pl/apartament-kaskada-parking-amp-balcony-by-axel.pl.html?aid=304142&label=gen173nr-1FCAQoggJCDXNlYXJjaF9nZHluaWFIHlgEaLYBiAEBmAEeuAEXyAEM2AEB6AEB-AEDiAIBqAIDuALKtru7BsACAdICJDA2NTMzMGQ0LTcwOGUtNDI1Zi1iMjgxLWViNDEyYzlmZjc4NtgCBeACAQ&ucfs=1&arphpl=1&checkin=2024-12-27&checkout=2024-12-28&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=11&hapos=11&sr_order=upsort_bh&srpvid=68cd76a52bc10138&srepoch=1735318347&all_sr_blocks=1153257201_391303932_2_0_0&highlighted_blocks=1153257201_391303932_2_0_0&matching_block_id=1153257201_391303932_2_0_0&sr_pri_blocks=1153257201_391303932_2_0_0__45000&from=searchresults,https://www.booking.com/searchresults.pl.html?ss=Gdynia&checkin=2024-12-27&checkout=2024-12-28&group_adults=2&order=upsort_bh,54.49631,18.5400021,Apartament
