name,address,price,distance,rate_review,num_review,rating_stars,link,source_url
Prosta Apartament Stary Torun,"Stare Miasto, Toruń",499,400.0,10.0,6.0,0,https://www.booking.com/hotel/pl/prosta-apartament-stary-torun.pl.html?aid=304142&label=gen173nr-1FCAQoggJCDXNlYXJjaF90b3J1xYRIHlgEaLYBiAEBmAEeuAEXyAEM2AEB6AEB-AEDiAIBqAIDuALp6KW7BsACAdICJDlhODZkMWVjLWU5OGUtNDhiZC05YWJkLWFjNzk5ZGE3MzJmNNgCBeACAQ&ucfs=1&arphpl=1&checkin=2024-12-23&checkout=2024-12-24&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=15&hapos=15&sr_order=price_from_high_to_low&srpvid=4e3b6634edae0389&srepoch=1734964331&all_sr_blocks=1302085401_403088660_10_0_0&highlighted_blocks=1302085401_403088660_10_0_0&matching_block_id=1302085401_403088660_10_0_0&sr_pri_blocks=1302085401_403088660_10_0_0__49900&from=searchresults,https://www.booking.com/searchresults.pl.html?ss=toru%C5%84&checkin=2024-12-23&checkout=2024-12-24&group_adults=2&order=price_from_high_to_low
Apartamenty Centrum - Szafirowy i Szmaragdowy,"Stare Miasto, Toruń",253,150.0,8.9,235.0,3,https://www.booking.com/hotel/pl/apartamenty-centrum-torun.pl.html?aid=304142&label=gen173nr-1FCAQoggJCDXNlYXJjaF90b3J1xYRIHlgEaLYBiAEBmAEeuAEXyAEM2AEB6AEB-AEDiAIBqAIDuALp6KW7BsACAdICJDcxZjAyMThlLWE1NjYtNDYyMy1hNzRkLTdkMmM2MmRiYjQ2YtgCBeACAQ&ucfs=1&arphpl=1&checkin=2024-12-23&checkout=2024-12-24&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=25&hapos=25&sr_order=class_asc&srpvid=faf36634162a0908&srepoch=1734964331&all_sr_blocks=675867802_276089215_2_0_0&highlighted_blocks=675867802_276089215_2_0_0&matching_block_id=675867802_276089215_2_0_0&sr_pri_blocks=675867802_276089215_2_0_0__25272&from=searchresults,https://www.booking.com/searchresults.pl.html?ss=toru%C5%84&checkin=2024-12-23&checkout=2024-12-24&group_adults=2&order=class_asc
Apartamenty Szeroka 32,"Stare Miasto, Toruń",274,150.0,9.6,148.0,3,https://www.booking.com/hotel/pl/apartament-szeroka-32-apartament-1.pl.html?aid=304142&label=gen173nr-1FCAQoggJCDXNlYXJjaF90b3J1xYRIHlgEaLYBiAEBmAEeuAEXyAEM2AEB6AEB-AEDiAIBqAIDuALp6KW7BsACAdICJGE2OWUzZTdmLWFkMDgtNGIyMC1hZWJlLTNmMDdhMWI4ZTRjY9gCBeACAQ&ucfs=1&arphpl=1&checkin=2024-12-23&checkout=2024-12-24&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=16&hapos=16&sr_order=review_score_and_price&srpvid=52a466347da10183&srepoch=1734964331&all_sr_blocks=502910701_171266219_2_0_0&highlighted_blocks=502910701_171266219_2_0_0&matching_block_id=502910701_171266219_2_0_0&sr_pri_blocks=502910701_171266219_2_0_0__27400&from=searchresults,https://www.booking.com/searchresults.pl.html?ss=toru%C5%84&checkin=2024-12-23&checkout=2024-12-24&group_adults=2&order=review_score_and_price
UNIQUE Apartment with parking,Toruń,287,800.0,9.5,30.0,3,https://www.booking.com/hotel/pl/unique-apartment-torun.pl.html?aid=304142&label=gen173nr-1FCAQoggJCDXNlYXJjaF90b3J1xYRIHlgEaLYBiAEBmAEeuAEXyAEM2AEB6AEB-AEDiAIBqAIDuALp6KW7BsACAdICJGE2OWUzZTdmLWFkMDgtNGIyMC1hZWJlLTNmMDdhMWI4ZTRjY9gCBeACAQ&ucfs=1&arphpl=1&checkin=2024-12-23&checkout=2024-12-24&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=17&hapos=17&sr_order=review_score_and_price&srpvid=52a466347da10183&srepoch=1734964331&all_sr_blocks=1198002801_392094149_2_0_0_746926&highlighted_blocks=1198002801_392094149_2_0_0_746926&matching_block_id=1198002801_392094149_2_0_0_746926&sr_pri_blocks=1198002801_392094149_2_0_0_746926_28680&from=searchresults,https://www.booking.com/searchresults.pl.html?ss=toru%C5%84&checkin=2024-12-23&checkout=2024-12-24&group_adults=2&order=review_score_and_price
Apartament Prosta 28,"Stare Miasto, Toruń",295,400.0,9.7,13.0,3,https://www.booking.com/hotel/pl/apartament-prosta-28.pl.html?aid=304142&label=gen173nr-1FCAQoggJCDXNlYXJjaF90b3J1xYRIHlgEaLYBiAEBmAEeuAEXyAEM2AEB6AEB-AEDiAIBqAIDuALp6KW7BsACAdICJGE2OWUzZTdmLWFkMDgtNGIyMC1hZWJlLTNmMDdhMWI4ZTRjY9gCBeACAQ&ucfs=1&arphpl=1&checkin=2024-12-23&checkout=2024-12-24&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=18&hapos=18&sr_order=review_score_and_price&srpvid=52a466347da10183&srepoch=1734964331&all_sr_blocks=1279831601_400871568_2_0_0&highlighted_blocks=1279831601_400871568_2_0_0&matching_block_id=1279831601_400871568_2_0_0&sr_pri_blocks=1279831601_400871568_2_0_0__29506&from=searchresults,https://www.booking.com/searchresults.pl.html?ss=toru%C5%84&checkin=2024-12-23&checkout=2024-12-24&group_adults=2&order=review_score_and_price
K4648 by Rentoom,Toruń,295,1900.0,9.5,2.0,3,https://www.booking.com/hotel/pl/k4648-by-rentoom.pl.html?aid=304142&label=gen173nr-1FCAQoggJCDXNlYXJjaF90b3J1xYRIHlgEaLYBiAEBmAEeuAEXyAEM2AEB6AEB-AEDiAIBqAIDuALp6KW7BsACAdICJGE2OWUzZTdmLWFkMDgtNGIyMC1hZWJlLTNmMDdhMWI4ZTRjY9gCBeACAQ&ucfs=1&arphpl=1&checkin=2024-12-23&checkout=2024-12-24&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=19&hapos=19&sr_order=review_score_and_price&srpvid=52a466347da10183&srepoch=1734964331&all_sr_blocks=1252719702_398132973_2_0_0&highlighted_blocks=1252719702_398132973_2_0_0&matching_block_id=1252719702_398132973_2_0_0&sr_pri_blocks=1252719702_398132973_2_0_0__29518&from=searchresults,https://www.booking.com/searchresults.pl.html?ss=toru%C5%84&checkin=2024-12-23&checkout=2024-12-24&group_adults=2&order=review_score_and_price
Apartament Toruń Starówka - Ducha,"Stare Miasto, Toruń",304,100.0,9.6,84.0,3,https://www.booking.com/hotel/pl/apartament-torun-starowka-ducha.pl.html?aid=304142&label=gen173nr-1FCAQoggJCDXNlYXJjaF90b3J1xYRIHlgEaLYBiAEBmAEeuAEXyAEM2AEB6AEB-AEDiAIBqAIDuALp6KW7BsACAdICJGE2OWUzZTdmLWFkMDgtNGIyMC1hZWJlLTNmMDdhMWI4ZTRjY9gCBeACAQ&ucfs=1&arphpl=1&checkin=2024-12-23&checkout=2024-12-24&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=20&hapos=20&sr_order=review_score_and_price&srpvid=52a466347da10183&srepoch=1734964331&all_sr_blocks=842456901_351007187_3_0_0&highlighted_blocks=842456901_351007187_3_0_0&matching_block_id=842456901_351007187_3_0_0&sr_pri_blocks=842456901_351007187_3_0_0__30400&from=searchresults,https://www.booking.com/searchresults.pl.html?ss=toru%C5%84&checkin=2024-12-23&checkout=2024-12-24&group_adults=2&order=review_score_and_price
Apartament Zielony Piernik,Toruń,320,1300.0,9.5,11.0,3,https://www.booking.com/hotel/pl/apartament-zielony-piernik.pl.html?aid=304142&label=gen173nr-1FCAQoggJCDXNlYXJjaF90b3J1xYRIHlgEaLYBiAEBmAEeuAEXyAEM2AEB6AEB-AEDiAIBqAIDuALp6KW7BsACAdICJGE2OWUzZTdmLWFkMDgtNGIyMC1hZWJlLTNmMDdhMWI4ZTRjY9gCBeACAQ&ucfs=1&arphpl=1&checkin=2024-12-23&checkout=2024-12-24&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=21&hapos=21&sr_order=review_score_and_price&srpvid=52a466347da10183&srepoch=1734964331&all_sr_blocks=1262076401_398827472_2_0_0&highlighted_blocks=1262076401_398827472_2_0_0&matching_block_id=1262076401_398827472_2_0_0&sr_pri_blocks=1262076401_398827472_2_0_0__31990&from=searchresults,https://www.booking.com/searchresults.pl.html?ss=toru%C5%84&checkin=2024-12-23&checkout=2024-12-24&group_adults=2&order=review_score_and_price
Apartamenty Jan Olbracht,"Stare Miasto, Toruń",323,150.0,9.7,382.0,4,https://www.booking.com/hotel/pl/apartamenty-jan-olbracht.pl.html?aid=304142&label=gen173nr-1FCAQoggJCDXNlYXJjaF90b3J1xYRIHlgEaLYBiAEBmAEeuAEXyAEM2AEB6AEB-AEDiAIBqAIDuALp6KW7BsACAdICJGE2OWUzZTdmLWFkMDgtNGIyMC1hZWJlLTNmMDdhMWI4ZTRjY9gCBeACAQ&ucfs=1&arphpl=1&checkin=2024-12-23&checkout=2024-12-24&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=22&hapos=22&sr_order=review_score_and_price&srpvid=52a466347da10183&srepoch=1734964331&all_sr_blocks=399591101_211834723_0_0_0&highlighted_blocks=399591101_211834723_0_0_0&matching_block_id=399591101_211834723_0_0_0&sr_pri_blocks=399591101_211834723_0_0_0__32300&from=searchresults,https://www.booking.com/searchresults.pl.html?ss=toru%C5%84&checkin=2024-12-23&checkout=2024-12-24&group_adults=2&order=review_score_and_price
Apartamenty Sofa Spot,"Stare Miasto, Toruń",331,350.0,9.6,244.0,3,https://www.booking.com/hotel/pl/apartamenty-sofa-spot.pl.html?aid=304142&label=gen173nr-1FCAQoggJCDXNlYXJjaF90b3J1xYRIHlgEaLYBiAEBmAEeuAEXyAEM2AEB6AEB-AEDiAIBqAIDuALp6KW7BsACAdICJGE2OWUzZTdmLWFkMDgtNGIyMC1hZWJlLTNmMDdhMWI4ZTRjY9gCBeACAQ&ucfs=1&arphpl=1&checkin=2024-12-23&checkout=2024-12-24&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=23&hapos=23&sr_order=review_score_and_price&srpvid=52a466347da10183&srepoch=1734964331&all_sr_blocks=601101201_237467504_4_0_0&highlighted_blocks=601101201_237467504_4_0_0&matching_block_id=601101201_237467504_4_0_0&sr_pri_blocks=601101201_237467504_4_0_0__33125&from=searchresults,https://www.booking.com/searchresults.pl.html?ss=toru%C5%84&checkin=2024-12-23&checkout=2024-12-24&group_adults=2&order=review_score_and_price
